"","thrs","FPR","TPR","group"
"164",0.62,0,0.999038461538462,"train"
"165",0.63,0,0.998557692307692,"train"
"166",0.64,0,0.998076923076923,"train"
"167",0.65,0,0.997115384615385,"train"
"168",0.66,0,0.996634615384615,"train"
"169",0.67,0,0.995673076923077,"train"
"170",0.68,0,0.994230769230769,"train"
"171",0.69,0,0.991826923076923,"train"
"172",0.7,0,0.988942307692308,"train"
"173",0.71,0,0.986057692307692,"train"
"174",0.72,0,0.984615384615385,"train"
"175",0.73,0,0.980769230769231,"train"
"176",0.74,0,0.978365384615385,"train"
"177",0.75,0,0.974519230769231,"train"
"178",0.76,0,0.972596153846154,"train"
"179",0.77,0,0.966826923076923,"train"
"180",0.78,0,0.960096153846154,"train"
"181",0.79,0,0.952403846153846,"train"
"182",0.8,0,0.944230769230769,"train"
"183",0.81,0,0.937980769230769,"train"
"184",0.82,0,0.928846153846154,"train"
"185",0.83,0,0.916826923076923,"train"
"186",0.84,0,0.907211538461538,"train"
"187",0.85,0,0.890865384615385,"train"
"188",0.86,0,0.875,"train"
"189",0.87,0,0.853365384615385,"train"
"190",0.88,0,0.831730769230769,"train"
"191",0.89,0,0.8125,"train"
"192",0.9,0,0.787980769230769,"train"
"193",0.91,0,0.759615384615385,"train"
"194",0.92,0,0.725480769230769,"train"
"195",0.93,0,0.693269230769231,"train"
"196",0.94,0,0.644711538461539,"train"
"197",0.95,0,0.570192307692308,"train"
"198",0.96,0,0.468269230769231,"train"
"199",0.97,0,0.330288461538462,"train"
"200",0.98,0,0.186057692307692,"train"
"201",0.99,0,0.0490384615384615,"train"
"202",1,0,0,"train"
"203",0,0.307385470808655,1,"train"
"204",0.01,0.184576332648374,1,"train"
"205",0.02,0.14468753777348,1,"train"
"206",0.03,0.120512510576574,1,"train"
"207",0.04,0.102139489906926,1,"train"
"208",0.05,0.0879970989967364,1,"train"
"209",0.06,0.0792940892058504,1,"train"
"210",0.07,0.0697449534630726,1,"train"
"211",0.08,0.0616463193521093,1,"train"
"212",0.09,0.0551190620089448,1,"train"
"213",0.1,0.0485918046657802,1,"train"
"214",0.11,0.0425480478665538,1,"train"
"215",0.12,0.0358999153874048,1,"train"
"216",0.13,0.0323945364438535,1,"train"
"217",0.14,0.0276804061404569,1,"train"
"218",0.15,0.0240541520609211,1,"train"
"219",0.16,0.0200652725734316,1,"train"
"220",0.17,0.0169225190378339,1,"train"
"221",0.18,0.0145050163181434,1,"train"
"222",0.19,0.0129336395503445,1,"train"
"223",0.2,0.0106370119666385,1,"train"
"224",0.21,0.0090656351988396,1,"train"
"225",0.22,0.00797775897497885,1,"train"
"226",0.23,0.00688988275111809,1,"train"
"227",0.24,0.00543938111930376,1,"train"
"228",0.25,0.00471413030339659,1,"train"
"229",0.26,0.00350537894355131,1,"train"
"230",0.27,0.00278012812764414,1,"train"
"231",0.28,0.00157137676779886,1,"train"
"232",0.29,0.00108787622386075,1,"train"
"233",0.3,0.000362625407953584,1,"train"
"234",0.31,0.000241750271969056,1,"train"
"235",0.32,0.000241750271969056,1,"train"
"236",0.33,0.000120875135984528,1,"train"
"237",0.34,0.000120875135984528,1,"train"
"238",0.35,0.000120875135984528,1,"train"
"239",0.36,0,1,"train"
"240",0.37,0,1,"train"
"241",0.38,0,1,"train"
"242",0.39,0,1,"train"
"243",0.4,0,1,"train"
"244",0.41,0,1,"train"
"245",0.42,0,1,"train"
"246",0.43,0,1,"train"
"247",0.44,0,1,"train"
"248",0.45,0,1,"train"
"249",0.46,0,1,"train"
"250",0.47,0,1,"train"
"251",0.48,0,1,"train"
"252",0.49,0,1,"train"
"253",0.5,0,1,"train"
"254",0.51,0,1,"train"
"255",0.52,0,1,"train"
"256",0.53,0,1,"train"
"257",0.54,0,1,"train"
"258",0.55,0,1,"train"
"259",0.56,0,1,"train"
"260",0.57,0,1,"train"
"261",0.58,0,1,"train"
"262",0.59,0,1,"train"
"263",0.6,0,1,"train"
"264",0.61,0,1,"train"
"265",0.62,0,1,"train"
"266",0.63,0,0.999518536350506,"train"
"267",0.64,0,0.998074145402022,"train"
"268",0.65,0,0.997111218103033,"train"
"269",0.66,0,0.99566682715455,"train"
"270",0.67,0,0.992778045257583,"train"
"271",0.68,0,0.990852190659605,"train"
"272",0.69,0,0.988926336061627,"train"
