,thrs,FPR,TPR,group
1,0,1,1,train
2,0.01,1,1,train
3,0.02,1,0.996129656507015,train
4,0.03,0.999758541591211,0.989356555394291,train
5,0.04,0.999637812386816,0.980648282535075,train
6,0.05,0.999637812386816,0.970488630865989,train
7,0.06,0.999517083182422,0.962264150943396,train
8,0.07,0.999034166364844,0.951136913401064,train
9,0.08,0.998309791138476,0.938558297048863,train
10,0.09,0.997826874320898,0.919206579583938,train
11,0.1,0.996861040685742,0.898403483309144,train
12,0.11,0.993842810575878,0.880019351717465,train
13,0.12,0.987927079560546,0.846153846153846,train
14,0.13,0.978510201617771,0.812772133526851,train
15,0.14,0.958106966075094,0.785679729075956,train
16,0.15,0.914765181697453,0.740686985970005,train
17,0.16,0.84160328383436,0.697629414610547,train
18,0.17,0.72256428830134,0.660861151427189,train
19,0.18,0.561632258843414,0.61151427189163,train
20,0.19,0.389230954968007,0.577648766328012,train
21,0.2,0.249909453096704,0.537977745524915,train
22,0.21,0.15199806833273,0.49685534591195,train
23,0.22,0.0935651334057709,0.461538461538462,train
24,0.23,0.0555354340214898,0.432510885341074,train
25,0.24,0.0341663648436557,0.404934687953556,train
26,0.25,0.0205239647470723,0.383647798742138,train
27,0.26,0.0138838585053724,0.358974358974359,train
28,0.27,0.00917541953398527,0.336236090953072,train
29,0.28,0.00676083544609441,0.311562651185293,train
30,0.29,0.00446698056259809,0.29559748427673,train
31,0.3,0.00338041772304721,0.280599903241413,train
32,0.31,0.00289750090546903,0.266569908079342,train
33,0.32,0.00217312567910177,0.250604741170779,train
34,0.33,0.0016902088615236,0.237058538945331,train
35,0.34,0.00120729204394543,0.224963715529753,train
36,0.35,0.00108656283955089,0.208514755684567,train
37,0.36,0.000724375226367258,0.196419932268989,train
38,0.37,0.000603646021972715,0.183357522980165,train
39,0.38,0.000603646021972715,0.173197871311079,train
40,0.39,0.000482916817578172,0.165940977261732,train
41,0.4,0.000482916817578172,0.156265118529269,train
42,0.41,0.000482916817578172,0.149975810353169,train
43,0.42,0.000482916817578172,0.143202709240445,train
44,0.43,0.000362187613183629,0.137880986937591,train
45,0.44,0.000362187613183629,0.128205128205128,train
46,0.45,0.000362187613183629,0.121432027092404,train
47,0.46,0.000241458408789086,0.115142718916304,train
48,0.47,0.000120729204394543,0.107885824866957,train
49,0.48,0.000120729204394543,0.102564102564103,train
50,0.49,0.000120729204394543,0.0972423802612482,train
51,0.5,0.000120729204394543,0.0953072085147557,train
52,0.51,0.000120729204394543,0.0914368650217707,train
53,0.52,0.000120729204394543,0.0890179003386551,train
54,0.53,0.000120729204394543,0.0861151427189163,train
55,0.54,0.000120729204394543,0.0788582486695694,train
56,0.55,0.000120729204394543,0.0749879051765844,train
57,0.56,0.000120729204394543,0.0716013546202225,train
58,0.57,0.000120729204394543,0.06966618287373,train
59,0.58,0.000120729204394543,0.0667634252539913,train
60,0.59,0,0.0624092888243832,train
61,0.6,0,0.0595065312046444,train
62,0.61,0,0.0556361877116594,train
63,0.62,0,0.05418480890179,train
64,0.63,0,0.0512820512820513,train
65,0.64,0,0.0483792936623125,train
66,0.65,0,0.0459603289791969,train
67,0.66,0,0.0430575713594582,train
68,0.67,0,0.0401548137397194,train
69,0.68,0,0.0372520561199806,train
70,0.69,0,0.0358006773101113,train
71,0.7,0,0.034833091436865,train
72,0.71,0,0.0324141267537494,train
73,0.72,0,0.03096274794388,train
74,0.73,0,0.0299951620706338,train
75,0.74,0,0.0285437832607644,train
76,0.75,0,0.0246734397677794,train
77,0.76,0,0.0237058538945331,train
78,0.77,0,0.0227382680212869,train
79,0.78,0,0.0198355104015481,train
80,0.79,0,0.0179003386550556,train
81,0.8,0,0.0174165457184325,train
82,0.81,0,0.0149975810353169,train
83,0.82,0,0.0145137880986938,train
84,0.83,0,0.0120948234155781,train
85,0.84,0,0.011611030478955,train
86,0.85,0,0.011611030478955,train
87,0.86,0,0.0111272375423319,train
88,0.87,0,0.00967585873246251,train
89,0.88,0,0.00822447992259313,train
