"","thrs","FPR","TPR","tIerr","tIIerr","group"
"1",0,1,1,0,1,"train"
"2",0.01,1,0.999039385206532,NA,NA,"train"
"3",0.02,1,0.996157540826129,NA,NA,"train"
"4",0.03,0.999879051765844,0.992795389048991,NA,NA,"train"
"5",0.04,0.999879051765844,0.989433237271854,NA,NA,"train"
"6",0.05,0.999637155297533,0.981268011527378,NA,NA,"train"
"7",0.06,0.999637155297533,0.970220941402498,NA,NA,"train"
"8",0.07,0.999516207063377,0.960614793467819,NA,NA,"train"
"9",0.08,0.99915336236091,0.950048030739673,NA,NA,"train"
"10",0.09,0.998911465892598,0.935158501440922,NA,NA,"train"
"11",0.1,0.997943880019352,0.918828049951969,NA,NA,"train"
"12",0.11,0.996492501209482,0.891450528338136,NA,NA,"train"
"13",0.12,0.994920174165457,0.865513928914505,NA,NA,"train"
"14",0.13,0.990686985970005,0.837656099903939,NA,NA,"train"
"15",0.14,0.981494920174166,0.800192122958694,NA,NA,"train"
"16",0.15,0.958393807450411,0.757925072046109,NA,NA,"train"
"17",0.16,0.907353652636672,0.715658021133526,NA,NA,"train"
"18",0.17,0.807450411223996,0.667627281460135,NA,NA,"train"
"19",0.18,0.650701499758104,0.615273775216138,NA,NA,"train"
"20",0.19,0.454039671020803,0.570124879923151,NA,NA,"train"
"21",0.2,0.280599903241413,0.531219980787704,NA,NA,"train"
"22",0.21,0.158684083212385,0.493275696445725,NA,NA,"train"
"23",0.22,0.0887760038703435,0.454370797310279,NA,NA,"train"
"24",0.23,0.0455974842767296,0.418347742555235,NA,NA,"train"
"25",0.24,0.0252781809385583,0.388568683957733,NA,NA,"train"
"26",0.25,0.0141509433962264,0.356868395773295,NA,NA,"train"
"27",0.26,0.00919206579583938,0.333333333333333,NA,NA,"train"
"28",0.27,0.00628930817610063,0.308837656099904,NA,NA,"train"
"29",0.28,0.00435413642960813,0.284341978866475,NA,NA,"train"
"30",0.29,0.00278180938558297,0.264649375600384,NA,NA,"train"
"31",0.3,0.0019351717464925,0.248799231508165,NA,NA,"train"
"32",0.31,0.00120948234155781,0.236311239193084,NA,NA,"train"
"33",0.32,0.000846637639090469,0.221902017291066,NA,NA,"train"
"34",0.33,0.000846637639090469,0.207012487992315,NA,NA,"train"
"35",0.34,0.000846637639090469,0.195004803073967,NA,NA,"train"
"36",0.35,0.000725689404934688,0.18299711815562,NA,NA,"train"
