Index,Beta _values_enet,Beta _values_ridge,Beta _values_lasso,Beta _values_random forest
X27,-0.001526214,-0.00233427,-0.001532883,0.008115126
X111,-0.001555598,-0.002103886,-0.001555718,0.006131772
X119,-0.001597833,-0.002741977,-0.001605468,0.006290026
X52,-0.001626026,-0.002575632,-0.001634395,0.005372727
X47,-0.001632132,-0.000967039,-0.001633801,0.004375796
X107,-0.001846607,-0.002434841,-0.001848044,0.004664949
X130,-0.002136673,-0.001995374,-0.002144895,0.006501332
X157,-0.00214136,-0.002315563,-0.002154666,0.00776279
X71,-0.00220526,-0.002399993,-0.002207502,0.002043548
X24,-0.002245562,-0.002801071,-0.002251926,0.003533113
X91,-0.002557248,-0.002447763,-0.002563195,0.002619017
X139,-0.002623888,-0.003074903,-0.002627621,0.003759422
X60,-0.002843216,-0.003071754,-0.0028466,0.005530707
X50,-0.002930764,-0.002805622,-0.002948001,0.002569057
X133,-0.003139968,-0.003610692,-0.003142402,0.004229261
X13,-0.00329025,-0.003358606,-0.003295964,0.007383678
X65,-0.003724218,-0.003724981,-0.003737211,0.002450166
X100,-0.004187531,-0.004033408,-0.004193258,0.010410731
X159,-0.004780657,-0.003678075,-0.004803013,0.006833518
X9,-0.006593738,-0.004781856,-0.006605746,0.002918103
X5,-0.006614581,-0.005317303,-0.006646486,0.005391065
