,thrs,FPR,TPR,group
1,0,1,1,train
2,0.01,0.999879051765844,0.996637848222863,train
3,0.02,0.999879051765844,0.990393852065322,train
4,0.03,0.999758103531688,0.984149855907781,train
5,0.04,0.999274310595065,0.972142170989433,train
6,0.05,0.998064828253508,0.961575408261287,train
7,0.06,0.996976294146105,0.948126801152738,train
8,0.07,0.995162070633769,0.930355427473583,train
9,0.08,0.993347847121432,0.912584053794428,train
10,0.09,0.989477503628447,0.890009606147935,train
11,0.1,0.982099661344944,0.870797310278578,train
12,0.11,0.972907595549105,0.847742555235351,train
13,0.12,0.958272859216255,0.820845341018252,train
14,0.13,0.93263183357523,0.791546589817483,train
15,0.14,0.894654088050314,0.760806916426513,train
16,0.15,0.827164973391389,0.729586935638809,train
17,0.16,0.728834059022738,0.695965417867435,train
18,0.17,0.604499274310595,0.664265129682997,train
19,0.18,0.464683115626512,0.62536023054755,train
20,0.19,0.336357039187228,0.592699327569645,train
21,0.2,0.239598451862603,0.553314121037464,train
22,0.21,0.169327527818094,0.527857829010567,train
23,0.22,0.118771165940977,0.497118155619597,train
24,0.23,0.0841799709724238,0.471661863592699,train
25,0.24,0.0589017900338655,0.441882804995197,train
26,0.25,0.044267053701016,0.415946205571566,train
27,0.26,0.0314465408805031,0.39433237271854,train
28,0.27,0.026003870343493,0.36983669548511,train
29,0.28,0.0203193033381713,0.35254562920269,train
30,0.29,0.0157232704402516,0.330931796349664,train
31,0.3,0.012699564586357,0.317483189241114,train
32,0.31,0.0102805999032414,0.310278578290106,train
33,0.32,0.00882922109337204,0.296829971181556,train
34,0.33,0.00701499758103532,0.284822286263208,train
35,0.34,0.00592646347363329,0.268491834774256,train
36,0.35,0.00507982583454282,0.25552353506244,train
37,0.36,0.00459603289791969,0.250720461095101,train
38,0.37,0.00411223996129657,0.237752161383285,train
39,0.38,0.00338655055636188,0.229586935638809,train
40,0.39,0.00314465408805031,0.222862632084534,train
41,0.4,0.00241896468311563,0.212295869356388,train
42,0.41,0.0019351717464925,0.206051873198847,train
43,0.42,0.00181422351233672,0.193563880883766,train
44,0.43,0.00157232704402516,0.183477425552353,train
45,0.44,0.00157232704402516,0.177233429394813,train
46,0.45,0.00157232704402516,0.172430355427474,train
47,0.46,0.00120948234155781,0.166666666666667,train
48,0.47,0.00120948234155781,0.161863592699328,train
49,0.48,0.00108853410740203,0.153218059558117,train
50,0.49,0.00108853410740203,0.146493756003842,train
51,0.5,0.000846637639090469,0.140249759846302,train
52,0.51,0.000846637639090469,0.135926993275696,train
53,0.52,0.000846637639090469,0.132564841498559,train
54,0.53,0.000846637639090469,0.126320845341018,train
